ID;Travel_Date;Traveler;Home_Office;Origin_Airport_Code;Destination_Airport_Code;City_Pair_Names;Carrier_Code;Carrier_Name;Cabin_Class;Advance_Purchase_Group;International_Domestic;Customer_related_Trip;Opportunity_ID;Opportunity_Size ID;Opportunity_Size;Carrier_Alliance;Mileage;Ticket_Amount;Lost_over_Low_Fare_Amount;Carbon_Footprint;Count
51231;21/03/2017;E121650;SYD;BNE;SYD;Brisbane - Sydney;Virgin Australia;Virgin Australia;Y;2-6 days;Domestic;Yes;OPP2194975;O2;0 - 50k;No Alliance;467;425,93;310,73;200,38;1
52148;30/03/2017;E059463;SYD;MEL;SYD;Melbourne - Sydney;Qantas Airways;Qantas Airways;Y;7-13 days;Domestic;Yes;OPP2229033;O1;250k - 1m;OneWorld;438;340,31;193,36;187,91;1
52499;29/03/2017;E001085;SYD;MEL;SYD;Melbourne - Sydney;Virgin Australia;Virgin Australia;Y;7-13 days;Domestic;Yes;OPP2469288;O2;0 - 50k;No Alliance;438;411,57;196,82;187,91;1
50366;29/03/2017;E124453;SYD;MEL;PER;Melbourne - Perth;Qantas Airways;Qantas Airways;Y;14-20 days;Domestic;Yes;OPP2939991;O2;0 - 50k;OneWorld;1680;424,86;70,46;654,03;1
51270;28/03/2017;E122828;SYD;SIN;BOM;Singapore - Mumbai;Qantas Airways;Qantas Airways;Y;7-13 days;International;Yes;OPP3016246;O4;50k - 250k;OneWorld;2439;1066,16;0;949,65;1
47293;29/03/2017;E221389;PHL;DFW;PHL;Dallas - Philadelphia;American Airlines;American Airlines;Y;>20 days;Domestic;Yes;OPP3132672;O3;1m - 10m;OneWorld;1301;471,17;81,04;506,61;1
47293;29/03/2017;E221389;PHL;DFW;PHL;Dallas - Philadelphia;American Airlines;American Airlines;Y;>20 days;Domestic;Yes;OPP3132672;O3;1m - 10m;OneWorld;1301;984,77;81,04;506,61;1
53234;31/03/2017;E000849;LHR;LHR;CDG;London - Paris;Air France;Air France;Y;7-13 days;International;Yes;OPP3144062;O1;250k - 1m;SkyTeam;215;476,63;0;113,42;1
53163;31/03/2017;E219487;SFO;DTW;EWR;Detroit - Newark;Delta;Delta;Y;7-13 days;Domestic;Yes;OPP3219150;O3;1m - 10m;SkyTeam;487;602,26;0;208,98;1
53163;31/03/2017;E219487;SFO;MKE;DTW;Milwaukee - Detroit;Delta;Delta;Y;7-13 days;Domestic;Yes;OPP3219150;O3;1m - 10m;SkyTeam;237;602,26;0;125,08;1
52715;30/03/2017;E261619;SFO;LAX;LAS;Los Angeles - Las Vegas;Southwest;Southwest;Y;7-13 days;Domestic;Yes;OPP3307140;O2;0 - 50k;No Alliance;236;0;0;125,08;1
52715;30/03/2017;E261619;SFO;LAX;LAS;Los Angeles - Las Vegas;Southwest;Southwest;Y;7-13 days;Domestic;Yes;OPP3307140;O2;0 - 50k;No Alliance;236;0;0;125,08;1
49836;21/03/2017;E108140;SYD;BNE;SYD;Brisbane - Sydney;Qantas Airways;Qantas Airways;Y;7-13 days;Domestic;Yes;OPP3957488;O3;1m - 10m;OneWorld;467;226,57;85,55;200,38;1
20051;31/03/2017;E127746;DXB;BLR;DXB;Bangalore - Dubai;Emirates Air;Emirates Air;Y;>20 days;International;No;#N/A;#N/A;#N/A;No Alliance;1678;1001,89;0;653,25;1
41905;31/03/2017;E179716;SFO;MCO;SFO;Orlando - San Francisco;United;United;Y;>20 days;Domestic;No;#N/A;#N/A;#N/A;StarAlliance;2443;590,11;0;951,21;1
46632;31/03/2017;E084143;SFO;SFO;LHR;San Francisco - London;Virgin Atlantic;Virgin Atlantic;W;>20 days;International;No;#N/A;#N/A;#N/A;No Alliance;5359;1392,5;0;2086,5;1
47814;31/03/2017;E214722;SFO;SFO;DEN;San Francisco - Denver;United;United;Y;14-20 days;Domestic;No;#N/A;#N/A;#N/A;StarAlliance;964;267,88;0;414,09;1
49125;31/03/2017;E217281;SFO;SFO;IAD;San Francisco - Washington;United;United;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;StarAlliance;2414;899,38;0;940,29;1
50904;31/03/2017;E182152;PHL;LGA;DEN;New York - Denver;United;United;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;StarAlliance;1618;587,97;0;629,85;1
51191;31/03/2017;E236035;SFO;IAH;SEA;Houston - Seattle;United;United;Y;14-20 days;Domestic;No;#N/A;#N/A;#N/A;StarAlliance;1875;849,89;81,04;730,08;1
51393;31/03/2017;E048203;LHR;EZE;LHR;Buenos Aires - London;British Airways;British Airways;C;7-13 days;International;No;#N/A;#N/A;#N/A;OneWorld;6921;4470,23;0;2694,51;1
51393;31/03/2017;E048203;LHR;SCL;EZE;Santiago - Buenos Aires;Lan Airlines;Lan Airlines;Y;7-13 days;International;No;#N/A;#N/A;#N/A;No Alliance;702;4470,23;0;301;1
51546;31/03/2017;E146006;FRA;CDG;FRA;Paris - Frankfurt;Lufthansa;Lufthansa;C;7-13 days;International;No;#N/A;#N/A;#N/A;StarAlliance;279;1232,54;0;147,34;1
51546;31/03/2017;E146006;FRA;FRA;TLV;Frankfurt - Tel Aviv;Lufthansa;Lufthansa;C;7-13 days;International;No;#N/A;#N/A;#N/A;StarAlliance;1838;1232,54;0;715,65;1
51739;31/03/2017;E019621;SYD;BNE;SYD;Brisbane - Sydney;Qantas Airways;Qantas Airways;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;OneWorld;467;335,95;0;200,38;1
52066;31/03/2017;E277846;FRA;DFW;ORD;Dallas - Chicago;United;United;Y;7-13 days;Domestic;Yes;#N/A;#N/A;#N/A;StarAlliance;802;429,98;0;344,43;1
52071;31/03/2017;E265621;SFO;DEN;OAK;Denver - Oakland;Southwest;Southwest;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;No Alliance;954;404,66;0;409,79;1
52124;31/03/2017;E136636;SFO;SAN;SJC;San Diego - San Jose;Southwest;Southwest;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;No Alliance;417;0;0;178,88;1
52124;31/03/2017;E136636;SFO;SAN;SJC;San Diego - San Jose;Southwest;Southwest;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;No Alliance;417;0;0;178,88;1
52219;31/03/2017;E008099;SYD;SYD;PER;Sydney - Perth;Qantas Airways;Qantas Airways;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;OneWorld;2038;613,1;355,98;793,26;1
52477;31/03/2017;E192143;SFO;DFW;SFO;Dallas - San Francisco;United;United;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;StarAlliance;1463;524,5;0;569,4;1
52510;31/03/2017;E187850;MEX;GRU;MIA;Sao Paulo - Miami;American Airlines;American Airlines;C;2-6 days;International;Yes;#N/A;#N/A;#N/A;OneWorld;4089;8483,35;0;1591,59;1
52571;31/03/2017;E092410;SYD;AKL;SYD;Auckland - Sydney;Qantas Airways;Qantas Airways;Y;7-13 days;International;No;#N/A;#N/A;#N/A;OneWorld;1344;715,38;0;522,99;1
52633;31/03/2017;E041510;LHR;CBR;MEL;Canberra - Melbourne;Qantas Airways;Qantas Airways;Y;2-6 days;Domestic;No;#N/A;#N/A;#N/A;OneWorld;291;791,86;0;154,23;1
52701;31/03/2017;E249035;SFO;SFO;SLC;San Francisco - Salt Lake City;Delta;Delta;Y;2-6 days;Domestic;No;#N/A;#N/A;#N/A;SkyTeam;598;416,18;0;256,71;1
52758;31/03/2017;E079769;FRA;CLJ;MUC;Cluj-Napoca - Munich;Lufthansa;Lufthansa;Y;2-6 days;International;No;#N/A;#N/A;#N/A;StarAlliance;565;655,85;0;242,52;1
52758;31/03/2017;E079769;FRA;MUC;BSL;Munich - Basel;Lufthansa;Lufthansa;Y;2-6 days;International;No;#N/A;#N/A;#N/A;StarAlliance;203;655,85;0;107,59;1
52826;31/03/2017;E138712;LHR;BOS;LHR;Boston - London;British Airways;British Airways;W;>20 days;International;Yes;#N/A;#N/A;#N/A;OneWorld;3260;1650,72;0;1269,06;1
52828;31/03/2017;E235804;SFO;SFO;DEN;San Francisco - Denver;United;United;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;StarAlliance;964;398,62;0;414,09;1
52839;31/03/2017;E017695;PHL;AKL;TRG;Auckland - Tauranga;Air New Zealand;Air New Zealand;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;StarAlliance;89;267,51;0;47,17;1
52839;31/03/2017;E017695;PHL;TRG;AKL;Tauranga - Auckland;Air New Zealand;Air New Zealand;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;StarAlliance;89;267,51;0;47,17;1
52860;31/03/2017;E114735;SYD;MEL;SYD;Melbourne - Sydney;Virgin Australia;Virgin Australia;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;No Alliance;438;53,94;0;187,91;1
52860;31/03/2017;E114735;SYD;SYD;MEL;Sydney - Melbourne;Virgin Australia;Virgin Australia;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;No Alliance;438;224,72;104,39;187,91;1
52860;31/03/2017;E114735;SYD;SYD;MEL;Sydney - Melbourne;Virgin Australia;Virgin Australia;Y;7-13 days;Domestic;Yes;#N/A;#N/A;#N/A;No Alliance;438;53,94;104,39;187,91;1
52873;31/03/2017;E086664;SYD;MEL;SYD;Melbourne - Sydney;Virgin Australia;Virgin Australia;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;No Alliance;438;284,61;0;187,91;1
52882;31/03/2017;E000094;SYD;SYD;CBR;Sydney - Canberra;Qantas Airways;Qantas Airways;Y;7-13 days;Domestic;Yes;#N/A;#N/A;#N/A;OneWorld;147;227,06;108,44;77,38;1
53070;31/03/2017;E215299;SFO;SFO;PDX;San Francisco - Portland;American Airlines;American Airlines;Y;2-6 days;Domestic;No;#N/A;#N/A;#N/A;OneWorld;550;455,96;0;236,5;1
53202;31/03/2017;E166587;FRA;FRA;MAD;Frankfurt - Madrid;Lufthansa;Lufthansa;Y;7-13 days;International;Yes;#N/A;#N/A;#N/A;StarAlliance;884;184,82;0;379,69;1
53407;31/03/2017;E174118;SFO;FRA;SFO;Frankfurt - San Francisco;United;United;C;2-6 days;International;No;#N/A;#N/A;#N/A;StarAlliance;5690;7404,52;0;2215,2;1
53529;31/03/2017;E253462;SFO;ATL;ORD;Atlanta - Chicago;American Airlines;American Airlines;Y;2-6 days;Domestic;No;#N/A;#N/A;#N/A;OneWorld;606;164,77;0;260,15;1
53705;31/03/2017;E287920;PHL;CLT;ATL;Charlotte - Atlanta;Delta;Delta;Y;2-6 days;Domestic;Yes;#N/A;#N/A;#N/A;SkyTeam;227;333,05;0;120,31;1
53736;31/03/2017;E020599;SYD;MEL;SYD;Melbourne - Sydney;Qantas Airways;Qantas Airways;Y;2-6 days;Domestic;No;#N/A;#N/A;#N/A;OneWorld;438;372,62;0;187,91;1
53736;31/03/2017;E020599;SYD;SYD;MEL;Sydney - Melbourne;Qantas Airways;Qantas Airways;Y;2-6 days;Domestic;No;#N/A;#N/A;#N/A;OneWorld;438;372,62;264,06;187,91;1
53813;31/03/2017;E008043;LHR;LHR;DUB;London - Dublin;British Airways;British Airways;Y;0-1 days;International;Yes;#N/A;#N/A;#N/A;OneWorld;279;383,9;0;147,87;1
53901;31/03/2017;E020098;FRA;SZG;VIE;Salzburg - Vienna;Austrian Airlines;Austrian Airlines;Y;0-1 days;International;No;#N/A;#N/A;#N/A;StarAlliance;166;456,52;0;87,98;1
53901;31/03/2017;E020098;FRA;VIE;ZRH;Vienna - Zurich;Austrian Airlines;Austrian Airlines;Y;0-1 days;International;Yes;#N/A;#N/A;#N/A;StarAlliance;375;456,52;0;160,82;1
53968;31/03/2017;E073784;LHR;NCL;LHR;Newcastle upon Tyne - London;British Airways;British Airways;C;2-6 days;Domestic;Yes;#N/A;#N/A;#N/A;OneWorld;252;626,88;0;133,03;1
54041;31/03/2017;E200205;SFO;SEA;SFO;Seattle - San Francisco;United;United;Y;2-6 days;Domestic;No;#N/A;#N/A;#N/A;StarAlliance;679;511,85;0;291,54;1
54041;31/03/2017;E200205;SFO;SFO;SEA;San Francisco - Seattle;United;United;Y;2-6 days;Domestic;No;#N/A;#N/A;#N/A;StarAlliance;679;511,85;0;291,54;1
54061;31/03/2017;E264415;PHL;ATL;JAX;Atlanta - Jacksonville;Delta;Delta;Y;2-6 days;Domestic;No;#N/A;#N/A;#N/A;SkyTeam;271;337,97;0;143,1;1
54061;31/03/2017;E264415;PHL;IAH;ATL;Houston - Atlanta;Delta;Delta;Y;2-6 days;Domestic;Yes;#N/A;#N/A;#N/A;SkyTeam;687;337,97;0;294,98;1
54113;31/03/2017;E156371;FRA;LAX;PHX;Los Angeles - Phoenix;Southwest;Southwest;Y;2-6 days;Domestic;No;#N/A;#N/A;#N/A;No Alliance;370;440,56;0;158,67;1
54113;31/03/2017;E156371;FRA;PHX;LAX;Phoenix - Los Angeles;Southwest;Southwest;Y;2-6 days;Domestic;No;#N/A;#N/A;#N/A;No Alliance;370;440,56;106,74;158,67;1
44265;30/03/2017;E254237;SFO;MLU;DFW;Monroe - Dallas;American Airlines;American Airlines;Y;>20 days;Domestic;No;#N/A;#N/A;#N/A;OneWorld;292;457,1;0;154,23;1
46906;30/03/2017;E044105;FRA;ZRH;ARN;Zurich - Stockholm;SWISS;SWISS;Y;>20 days;International;No;#N/A;#N/A;#N/A;StarAlliance;925;173,11;0;397,32;1
46951;30/03/2017;E247011;SFO;SFO;JFK;San Francisco - New York;American Airlines;American Airlines;Y;>20 days;Domestic;No;#N/A;#N/A;#N/A;OneWorld;2582;589,97;0;1005,03;1
48745;30/03/2017;E086586;SFO;BLL;LCY;Billund - London;British Airways;British Airways;Y;>20 days;International;No;#N/A;#N/A;#N/A;OneWorld;473;407,64;0;202,96;1
48833;30/03/2017;E032226;LHR;MIA;LHR;Miami - London;British Airways;British Airways;Y;7-13 days;International;Yes;#N/A;#N/A;#N/A;OneWorld;4422;0;0;1721,46;1
49289;30/03/2017;E023550;LHR;CPH;LHR;Copenhagen - London;British Airways;British Airways;Y;14-20 days;International;Yes;#N/A;#N/A;#N/A;OneWorld;608;553,98;0;261,01;1
49294;30/03/2017;E283996;SFO;RDM;SEA;Redmond - Seattle;Alaska Airlines;Alaska Airlines;Y;14-20 days;Domestic;No;#N/A;#N/A;#N/A;No Alliance;228;526,28;0;120,31;1
49294;30/03/2017;E283996;SFO;RDM;SEA;Redmond - Seattle;Alaska Airlines;Alaska Airlines;Y;14-20 days;Domestic;Yes;#N/A;#N/A;#N/A;No Alliance;228;450,48;0;120,31;1
49294;30/03/2017;E283996;SFO;SEA;SFO;Seattle - San Francisco;Alaska Airlines;Alaska Airlines;Y;14-20 days;Domestic;No;#N/A;#N/A;#N/A;No Alliance;679;526,28;0;291,54;1
49294;30/03/2017;E283996;SFO;SEA;SFO;Seattle - San Francisco;Alaska Airlines;Alaska Airlines;Y;14-20 days;Domestic;Yes;#N/A;#N/A;#N/A;No Alliance;679;450,48;0;291,54;1
49577;30/03/2017;E257278;MEX;MIA;MEX;Miami - Mexico City;American Airlines;American Airlines;Y;14-20 days;International;No;#N/A;#N/A;#N/A;OneWorld;1276;456,55;0;496,86;1
50192;30/03/2017;E234491;PHL;MSP;BOI;Minneapolis/St. Paul - Boise;Delta;Delta;Y;14-20 days;Domestic;No;#N/A;#N/A;#N/A;SkyTeam;1139;727,09;0;443,43;1
50770;30/03/2017;E293489;MEX;MEX;BOG;Mexico City - Bogota;Aeromexico;Aeromexico;Y;14-20 days;International;No;#N/A;#N/A;#N/A;SkyTeam;1965;702,35;0;764,79;1
51360;30/03/2017;E067594;LHR;SIN;ADL;Singapore - Adelaide;Singapore Airlines;Singapore Airlines;Y;7-13 days;International;No;#N/A;#N/A;#N/A;StarAlliance;3360;529,25;0;1308,06;1
51646;30/03/2017;E167384;SFO;ORD;SFO;Chicago - San Francisco;United;United;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;StarAlliance;1843;546,25;0;717,6;1
51739;30/03/2017;E019621;SYD;SYD;BNE;Sydney - Brisbane;Qantas Airways;Qantas Airways;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;OneWorld;467;335,95;216;200,38;1
52071;30/03/2017;E265621;SFO;OAK;DEN;Oakland - Denver;Southwest;Southwest;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;No Alliance;954;404,66;0;409,79;1
52124;30/03/2017;E136636;SFO;SJC;SAN;San Jose - San Diego;Southwest;Southwest;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;No Alliance;417;0;0;178,88;1
52124;30/03/2017;E136636;SFO;SJC;SAN;San Jose - San Diego;Southwest;Southwest;Y;7-13 days;Domestic;Yes;#N/A;#N/A;#N/A;No Alliance;417;0;0;178,88;1
52165;30/03/2017;E171799;SFO;JFK;SFO;New York - San Francisco;Delta;Delta;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;SkyTeam;2582;813,32;194,65;1005,03;1
52519;30/03/2017;E115682;SYD;MEL;ADL;Melbourne - Adelaide;Qantas Airways;Qantas Airways;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;OneWorld;399;397,47;0;171,14;1
52571;30/03/2017;E092410;SYD;SYD;AKL;Sydney - Auckland;Qantas Airways;Qantas Airways;Y;7-13 days;International;No;#N/A;#N/A;#N/A;OneWorld;1344;715,38;484,23;522,99;1
52755;30/03/2017;E254387;SFO;MIA;CCS;Miami - Caracas;American Airlines;American Airlines;Y;7-13 days;International;No;#N/A;#N/A;#N/A;OneWorld;1364;987,71;627,06;531,18;1
52818;30/03/2017;E298774;PHL;CLT;BDL;Charlotte - Hartford;American Airlines;American Airlines;Y;2-6 days;Domestic;Yes;#N/A;#N/A;#N/A;OneWorld;644;525;0;276,49;1
52818;30/03/2017;E298774;PHL;MSY;CLT;New Orleans - Charlotte;American Airlines;American Airlines;Y;2-6 days;Domestic;No;#N/A;#N/A;#N/A;OneWorld;651;525;0;279,5;1
52828;30/03/2017;E235804;SFO;DEN;SFO;Denver - San Francisco;United;United;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;StarAlliance;964;398,62;0;414,09;1
52873;30/03/2017;E086664;SYD;SYD;MEL;Sydney - Melbourne;Virgin Australia;Virgin Australia;Y;7-13 days;Domestic;Yes;#N/A;#N/A;#N/A;No Alliance;438;284,61;161,33;187,91;1
52894;30/03/2017;E120625;SYD;CHC;AKL;Christchurch - Auckland;Air New Zealand;Air New Zealand;Y;2-6 days;International;No;#N/A;#N/A;#N/A;StarAlliance;463;1278,74;0;198,66;1
53062;30/03/2017;E014067;LHR;LHR;CDG;London - Paris;British Airways;British Airways;Y;7-13 days;International;Yes;#N/A;#N/A;#N/A;OneWorld;215;412,66;0;113,42;1
53180;30/03/2017;E235360;PHL;BOS;JFK;Boston - New York;JetBlue;JetBlue;Y;2-6 days;Domestic;Yes;#N/A;#N/A;#N/A;No Alliance;186;166,24;62,6;98,58;1
53229;30/03/2017;E287858;SFO;LAX;SFO;Los Angeles - San Francisco;Delta;Delta;F;7-13 days;Domestic;No;#N/A;#N/A;#N/A;SkyTeam;338;433,51;0;144,91;1
53229;30/03/2017;E287858;SFO;LAX;SFO;Los Angeles - San Francisco;Delta;Delta;F;7-13 days;Domestic;Yes;#N/A;#N/A;#N/A;SkyTeam;338;433,17;0;144,91;1
53229;30/03/2017;E287858;SFO;SFO;LAX;San Francisco - Los Angeles;Delta;Delta;F;7-13 days;Domestic;No;#N/A;#N/A;#N/A;SkyTeam;338;433,51;0;144,91;1
53271;30/03/2017;E051819;FRA;FRA;BHX;Frankfurt - Birmingham;Lufthansa;Lufthansa;Y;2-6 days;International;No;#N/A;#N/A;#N/A;StarAlliance;476;575,88;0;204,25;1
53326;30/03/2017;E154779;FRA;BOS;ATL;Boston - Atlanta;Southwest;Southwest;Y;2-6 days;Domestic;No;#N/A;#N/A;#N/A;No Alliance;946;640,93;384,75;406,35;1
53403;30/03/2017;E064758;PHL;DTW;MDW;Detroit - Chicago;Delta;Delta;F;2-6 days;Domestic;Yes;#N/A;#N/A;#N/A;SkyTeam;228;196,53;0;120,31;1
53445;30/03/2017;E088523;SYD;MEL;SYD;Melbourne - Sydney;Virgin Australia;Virgin Australia;Y;2-6 days;Domestic;No;#N/A;#N/A;#N/A;No Alliance;438;223,03;0;187,91;1
53465;30/03/2017;E297819;PHL;MDW;STL;Chicago - St. Louis;Southwest;Southwest;Y;0-1 days;Domestic;No;#N/A;#N/A;#N/A;No Alliance;251;410,29;0;132,5;1
53482;30/03/2017;E214716;PHL;ATL;MSP;Atlanta - Minneapolis/St. Paul;Delta;Delta;Y;2-6 days;Domestic;Yes;#N/A;#N/A;#N/A;SkyTeam;907;408,14;0;389,15;1
53482;30/03/2017;E214716;PHL;PBI;ATL;West Palm Beach - Atlanta;Delta;Delta;Y;2-6 days;Domestic;No;#N/A;#N/A;#N/A;SkyTeam;546;408,14;0;234,35;1
53517;30/03/2017;E038675;SYD;SYD;BNE;Sydney - Brisbane;Qantas Airways;Qantas Airways;Y;2-6 days;Domestic;Yes;#N/A;#N/A;#N/A;OneWorld;467;230,54;192,4;200,38;1
53595;30/03/2017;E172142;FRA;DCA;LGA;Washington - New York;Delta;Delta;Y;2-6 days;Domestic;Yes;#N/A;#N/A;#N/A;SkyTeam;214;659,56;0;113,42;1
53643;30/03/2017;E059597;SYD;MEL;AKL;Melbourne - Auckland;Qantas Airways;Qantas Airways;Y;2-6 days;International;Yes;#N/A;#N/A;#N/A;OneWorld;1640;233,28;0;638,43;1
53665;30/03/2017;E107272;LHR;LHR;FRA;London - Frankfurt;Lufthansa;Lufthansa;C;7-13 days;International;Yes;#N/A;#N/A;#N/A;StarAlliance;406;858,39;0;174,15;1
53706;30/03/2017;E035565;SYD;SYD;BNE;Sydney - Brisbane;Qantas Airways;Qantas Airways;Y;2-6 days;Domestic;No;#N/A;#N/A;#N/A;OneWorld;467;473,37;383,96;200,38;1
53719;30/03/2017;E139782;MEX;MIA;MEX;Miami - Mexico City;American Airlines;American Airlines;Y;0-1 days;International;No;#N/A;#N/A;#N/A;OneWorld;1276;913,87;42,15;496,86;1
53813;30/03/2017;E008043;LHR;DUB;LHR;Dublin - London;British Airways;British Airways;Y;0-1 days;International;No;#N/A;#N/A;#N/A;OneWorld;279;383,9;0;147,87;1
53901;30/03/2017;E020098;FRA;FRA;SZG;Frankfurt - Salzburg;Lufthansa;Lufthansa;Y;0-1 days;International;Yes;#N/A;#N/A;#N/A;StarAlliance;253;456,52;0;134,09;1
54087;30/03/2017;E235701;SFO;PHX;SFO;Phoenix - San Francisco;Southwest;Southwest;Y;0-1 days;Domestic;No;#N/A;#N/A;#N/A;No Alliance;651;236,21;89,85;279,5;1
54489;30/03/2017;E237930;PHL;EYW;MIA;Key West - Miami;American Airlines;American Airlines;F;0-1 days;Domestic;Yes;#N/A;#N/A;#N/A;OneWorld;125;357,38;0;66,25;1
54489;30/03/2017;E237930;PHL;MIA;BOS;Miami - Boston;American Airlines;American Airlines;W;0-1 days;Domestic;No;#N/A;#N/A;#N/A;OneWorld;1261;357,38;0;491,01;1
35365;29/03/2017;E073784;LHR;LHR;NCL;London - Newcastle upon Tyne;British Airways;British Airways;Y;>20 days;International;Yes;#N/A;#N/A;#N/A;OneWorld;252;860,07;0;133,03;1
35373;29/03/2017;E073784;LHR;LHR;NCL;London - Newcastle upon Tyne;British Airways;British Airways;Y;>20 days;International;No;#N/A;#N/A;#N/A;OneWorld;252;860,07;0;133,03;1
41905;29/03/2017;E179716;SFO;SFO;MCO;San Francisco - Orlando;United;United;Y;>20 days;Domestic;No;#N/A;#N/A;#N/A;StarAlliance;2443;590,11;0;951,21;1
41905;29/03/2017;E179716;SFO;SFO;MCO;San Francisco - Orlando;United;United;Y;>20 days;Domestic;No;#N/A;#N/A;#N/A;StarAlliance;2443;590,11;0;951,21;1
44242;29/03/2017;E267365;SFO;FRA;TXL;Frankfurt - Berlin;Lufthansa;Lufthansa;Y;>20 days;International;No;#N/A;#N/A;#N/A;StarAlliance;268;2250,04;0;142,04;1
44265;29/03/2017;E254237;SFO;DFW;MLU;Dallas - Monroe;American Airlines;American Airlines;Y;>20 days;Domestic;Yes;#N/A;#N/A;#N/A;OneWorld;292;457,1;0;154,23;1
48005;29/03/2017;E003682;LHR;LHR;DXB;London - Dubai;Emirates Air;Emirates Air;Y;>20 days;International;Yes;#N/A;#N/A;#N/A;No Alliance;3418;693,92;0;1330,68;1
48833;29/03/2017;E032226;LHR;SCL;MIA;Santiago - Miami;American Airlines;American Airlines;Y;7-13 days;International;No;#N/A;#N/A;#N/A;OneWorld;4141;0;0;1612,26;1
49294;29/03/2017;E283996;SFO;PDX;RDM;Portland - Redmond;Alaska Airlines;Alaska Airlines;Y;14-20 days;Domestic;No;#N/A;#N/A;#N/A;No Alliance;116;450,48;0;61,48;1
49294;29/03/2017;E283996;SFO;SFO;PDX;San Francisco - Portland;Alaska Airlines;Alaska Airlines;Y;14-20 days;Domestic;Yes;#N/A;#N/A;#N/A;No Alliance;550;450,48;0;236,5;1
50545;29/03/2017;E299276;PHL;SMF;SLC;Sacramento - Salt Lake City;Delta;Delta;Y;7-13 days;Domestic;No;#N/A;#N/A;#N/A;SkyTeam;531;816,81;0;227,9;1
